fileName,realTime,callCnt,threadCnt,cpuCnt,algoName
./testData/saj6.txt,2.348,0,10,1,ompDat
./testData/saj6.txt,2.366,0,10,1,ompDat
./testData/saj6.txt,2.593,0,10,1,ompDat
./testData/saj6.txt,2.288,0,10,1,ompDat
./testData/saj6.txt,2.572,0,10,1,ompDat
./testData/saj6.txt,2.635,0,10,1,ompDat
./testData/saj6.txt,3.2,0,10,1,ompDat
./testData/saj6.txt,3.58,0,10,1,ompDat
./testData/saj6.txt,2.751,0,10,1,ompDat
./testData/saj6.txt,2.895,0,10,1,ompDat
./testData/saj6.txt,2.2,0,15,1,ompDat
./testData/saj6.txt,2.14,0,15,1,ompDat
./testData/saj6.txt,2.220,0,15,1,ompDat
./testData/saj6.txt,2.354,0,15,1,ompDat
./testData/saj6.txt,2.611,0,15,1,ompDat
./testData/saj6.txt,2.68,0,15,1,ompDat
./testData/saj6.txt,2.136,0,15,1,ompDat
./testData/saj6.txt,2.214,0,15,1,ompDat
./testData/saj6.txt,2.293,0,15,1,ompDat
./testData/saj6.txt,2.69,0,15,1,ompDat
./testData/saj6.txt,2.185,0,20,1,ompDat
./testData/saj6.txt,2.613,0,20,1,ompDat
./testData/saj6.txt,1.956,0,20,1,ompDat
./testData/saj6.txt,2.26,0,20,1,ompDat
./testData/saj6.txt,1.436,0,20,1,ompDat
./testData/saj6.txt,1.989,0,20,1,ompDat
./testData/saj6.txt,2.75,0,20,1,ompDat
./testData/saj6.txt,1.942,0,20,1,ompDat
./testData/saj6.txt,1.937,0,20,1,ompDat
./testData/saj6.txt,2.319,0,20,1,ompDat
./testData/saj6.txt,5.180,0,5,1,ompDat
./testData/saj6.txt,5.346,0,5,1,ompDat
./testData/saj6.txt,4.740,0,5,1,ompDat
./testData/saj6.txt,4.669,0,5,1,ompDat
./testData/saj6.txt,4.876,0,5,1,ompDat
./testData/saj6.txt,4.909,0,5,1,ompDat
./testData/saj6.txt,4.997,0,5,1,ompDat
./testData/saj6.txt,4.559,0,5,1,ompDat
./testData/saj6.txt,5.140,0,5,1,ompDat
./testData/saj6.txt,4.771,0,5,1,ompDat
./testData/saj7.txt,216.308,0,1,1,ompDat
./testData/saj7.txt,216.572,0,1,1,ompDat
./testData/saj7.txt,216.930,0,1,1,ompDat
./testData/saj7.txt,216.259,0,1,1,ompDat
./testData/saj7.txt,233.621,0,1,1,ompDat
./testData/saj7.txt,216.339,0,1,1,ompDat
./testData/saj7.txt,216.690,0,1,1,ompDat
./testData/saj7.txt,216.723,0,1,1,ompDat
./testData/saj7.txt,216.562,0,1,1,ompDat
./testData/saj7.txt,216.717,0,1,1,ompDat
./testData/saj7.txt,1.297,0,10,1,ompDat
./testData/saj7.txt,1.259,0,10,1,ompDat
./testData/saj7.txt,0.751,0,10,1,ompDat
./testData/saj7.txt,1.197,0,10,1,ompDat
./testData/saj7.txt,1.294,0,10,1,ompDat
./testData/saj7.txt,1.264,0,10,1,ompDat
./testData/saj7.txt,1.232,0,10,1,ompDat
./testData/saj7.txt,0.750,0,10,1,ompDat
./testData/saj7.txt,0.766,0,10,1,ompDat
./testData/saj7.txt,1.197,0,10,1,ompDat
./testData/saj7.txt,1.145,0,15,1,ompDat
./testData/saj7.txt,0.982,0,15,1,ompDat
./testData/saj7.txt,1.166,0,15,1,ompDat
./testData/saj7.txt,1.47,0,15,1,ompDat
./testData/saj7.txt,1.164,0,15,1,ompDat
./testData/saj7.txt,1.27,0,15,1,ompDat
./testData/saj7.txt,1.34,0,15,1,ompDat
./testData/saj7.txt,1.183,0,15,1,ompDat
./testData/saj7.txt,1.48,0,15,1,ompDat
./testData/saj7.txt,1.158,0,15,1,ompDat
./testData/saj7.txt,0.132,0,20,1,ompDat
./testData/saj7.txt,0.216,0,20,1,ompDat
./testData/saj7.txt,0.223,0,20,1,ompDat
./testData/saj7.txt,0.131,0,20,1,ompDat
./testData/saj7.txt,0.128,0,20,1,ompDat
./testData/saj7.txt,0.133,0,20,1,ompDat
./testData/saj7.txt,0.220,0,20,1,ompDat
./testData/saj7.txt,0.134,0,20,1,ompDat
./testData/saj7.txt,0.130,0,20,1,ompDat
./testData/saj7.txt,0.220,0,20,1,ompDat
./testData/saj7.txt,0.725,0,5,1,ompDat
./testData/saj7.txt,1.125,0,5,1,ompDat
./testData/saj7.txt,0.771,0,5,1,ompDat
./testData/saj7.txt,0.739,0,5,1,ompDat
./testData/saj7.txt,0.809,0,5,1,ompDat
./testData/saj7.txt,1.363,0,5,1,ompDat
./testData/saj7.txt,0.582,0,5,1,ompDat
./testData/saj7.txt,0.689,0,5,1,ompDat
./testData/saj7.txt,0.799,0,5,1,ompDat
./testData/saj7.txt,0.735,0,5,1,ompDat
