FormulaId,NumberOfClauses,CpuTime,RelativeError
0421,20,0.03125,0.0
0663,20,0.015625,0.0
0660,20,0.015625,0.0
0661,20,0.015625,0.0
0428,20,0.03125,0.0
0429,20,0.015625,0.0
0426,20,0.015625,0.0
0668,20,0.015625,0.0
0427,20,0.03125,0.0
0669,20,0.015625,0.0
0680,20,0.03125,0.0
0681,20,0.03125,0.0
0435,20,0.015625,0.0
0677,20,0.03125,0.0
0436,20,0.03125,0.0
0678,20,0.015625,0.0
0433,20,0.0,0.0
0675,20,0.015625,0.0
0434,20,0.046875,0.0
0676,20,0.046875,0.0
0431,20,0.0,0.0
0673,20,0.03125,0.0
0432,20,0.015625,0.0
0674,20,0.03125,0.0
0671,20,0.03125,0.0
0430,20,0.015625,0.0
0672,20,0.03125,0.0
0439,20,0.03125,0.0
0437,20,0.03125,0.0
0679,20,0.03125,0.0
0438,20,0.015625,0.0
0691,20,0.03125,0.0
0450,20,0.015625,0.0
0692,20,0.03125,0.0
0690,20,0.015625,0.0
0204,20,0.03125,0.0
0446,20,0.015625,0.0
0688,20,0.015625,0.0
0205,20,0.03125,0.0
0447,20,0.015625,0.0
0689,20,0.015625,0.0
0202,20,0.015625,0.0045377197958026095
0444,20,0.03125,0.0
0686,20,0.015625,0.0
0203,20,0.03125,0.021291823224190373
0445,20,0.015625,0.0
0687,20,0.03125,0.0465184318314804
0200,20,0.03125,0.0
0442,20,0.015625,0.0
0684,20,0.03125,0.0
0201,20,0.03125,0.0
0443,20,0.0,0.0
0685,20,0.03125,0.0014602803738317756
0440,20,0.015625,0.0
0682,20,0.03125,0.0
0441,20,0.03125,0.0
0683,20,0.046875,0.0
0208,20,0.015625,0.0
0209,20,0.03125,0.0
0206,20,0.03125,0.0
0448,20,0.03125,0.0
0207,20,0.03125,0.0
0449,20,0.03125,0.0
0460,20,0.015625,0.0
0461,20,0.015625,0.0
0215,20,0.03125,0.0
0457,20,0.03125,0.0
0699,20,0.03125,0.0
0216,20,0.0,0.0
0458,20,0.03125,0.0
0213,20,0.015625,0.0
0455,20,0.03125,0.0
0697,20,0.015625,0.0
0214,20,0.015625,0.0
0456,20,0.03125,0.0
0698,20,0.03125,0.0
0211,20,0.015625,0.0
0453,20,0.015625,0.0
0695,20,0.03125,0.0
0212,20,0.03125,0.0
0454,20,0.015625,0.0
0696,20,0.03125,0.0
0451,20,0.015625,0.0
0693,20,0.03125,0.0
0210,20,0.03125,0.0394100580270793
0452,20,0.015625,0.0
0694,20,0.03125,0.0
0219,20,0.015625,0.011883732134254055
0217,20,0.03125,0.0
0459,20,0.03125,0.0
0218,20,0.046875,0.0
0471,20,0.03125,0.0
0230,20,0.03125,0.0
0472,20,0.03125,0.0
0470,20,0.03125,0.0
0226,20,0.015625,0.0
0468,20,0.03125,0.0
0227,20,0.03125,0.0
0469,20,0.03125,0.0
0224,20,0.03125,0.0
0466,20,0.03125,0.0
0225,20,0.03125,0.0
0467,20,0.03125,0.0
0222,20,0.015625,0.0
0464,20,0.03125,0.0
0223,20,0.0,0.0
0465,20,0.0,0.0
0220,20,0.03125,0.0
0462,20,0.015625,0.0
0221,20,0.03125,0.0
0463,20,0.015625,0.0
