KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31
52,32,0.859375,8495171,0.0,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,false,true,true,false,false,true,true,true,false,true
53,32,0.3125,2904420,0.0,true,true,true,true,false,true,true,true,false,true,false,true,false,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true
54,32,2.015625,19592920,0.0,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,false,false,true,false,true,false,true,true,true,true,true,true,true,true,true,false,true
55,32,0.578125,5694133,0.0,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,false,false,true,true,true,true,true,false,false
56,32,0.265625,2632518,0.0,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,false,false,true,false,false,true,true,true,true,true
57,32,0.671875,6480500,0.0,true,true,true,false,false,false,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true
58,32,1.6875,15658891,0.0,true,false,true,true,true,false,true,true,true,false,false,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false
59,32,0.265625,2798134,0.0,false,false,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
60,32,0.890625,8131828,0.0,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,false,true,false,true
61,32,0.84375,7801177,0.0,true,true,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,true,true,true,false
62,32,0.4375,4311913,0.0,false,true,true,false,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,false
63,32,0.90625,8841476,0.0,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,false,true,true,true,true,true
