KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31
95,32,0.0,76,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false
96,32,0.0,146,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true
97,32,0.0,28360,false,true,true,false,false,false,false,false,true,true,false,false,true,false,false,true,false,true,false,false,false,true,false,true,false,true,false,false,true,true,false,false
98,32,0.0,269,true,true,true,true,false,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true
99,32,0.0,57,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true
100,32,0.0,4148,true,false,false,true,true,false,false,true,true,false,false,false,false,true,true,true,true,true,true,true,false,true,true,false,false,false,true,true,true,true,true,true
101,32,0.0,7697,true,true,true,true,true,false,true,true,true,false,false,true,false,true,true,false,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,true
102,32,0.03125,151820,false,false,true,false,false,false,false,true,true,false,true,false,false,true,false,true,false,false,true,true,false,false,true,false,true,false,true,true,false,false,true,false
103,32,0.0,3626,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,false,true,true,false,false,true,true,true,false,false,true,true,true,true,false
104,32,0.0,32109,false,true,false,true,false,false,true,true,false,true,true,false,false,false,true,false,true,true,false,true,false,true,false,false,false,true,false,true,false,true,false,false
105,32,0.03125,101123,true,true,true,true,true,false,true,true,false,true,true,false,true,true,false,false,false,true,false,true,true,false,false,false,true,false,false,true,true,false,true,false
106,32,0.0,446,true,false,true,true,true,true,true,true,false,true,true,false,true,false,true,false,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true
107,32,0.0,9224,false,true,false,false,false,true,false,true,false,true,false,false,true,true,false,true,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false
108,32,0.0,25,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false
109,32,0.0,252,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false,false,false,true
110,32,0.015625,45504,true,true,false,true,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true,false,true,true,true,true,true,false,false,false,false,true
111,32,0.0,32,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true
112,32,0.015625,84814,true,true,true,true,true,false,true,false,false,false,false,true,false,true,false,true,false,false,true,false,false,false,true,true,false,true,true,true,true,false,false,false
113,32,0.0,1363,true,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,false,false
114,32,0.0,25049,false,true,false,true,false,true,true,true,false,false,false,true,false,true,true,false,false,true,true,true,true,true,true,false,true,false,true,false,false,false,true,false
115,32,0.015625,19492,false,false,false,false,false,true,true,false,false,false,true,true,false,true,true,true,false,false,false,true,false,false,true,true,false,false,true,true,false,true,true,true
116,32,0.0,4771,false,true,false,false,false,false,false,true,false,true,false,false,true,true,false,true,false,false,true,false,false,true,true,false,false,false,false,true,false,false,false,false
117,32,0.0,35,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true
118,32,0.0,38,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true
119,32,0.0,3,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
120,32,0.0,171,true,true,true,false,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true
121,32,0.0,41,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,true
122,32,0.0,46,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false
123,32,0.0,6221,false,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true,true,false,false,false,false,true
124,32,0.015625,23106,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,false,true,true,false,false,true,false,false,false,true
125,32,0.0,15102,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,false,true,true,false,true,false,false,true,true,true,true,false,false,false
126,32,0.0,11,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true
127,32,0.0,233,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true
128,32,0.0,3491,true,false,true,true,true,false,true,true,true,false,false,true,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,false
129,32,0.0,569,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,false,false,false,false
130,32,0.015625,5776,false,true,false,true,true,false,true,false,false,false,false,false,true,false,false,true,false,true,true,false,false,false,true,false,false,true,false,false,false,false,false,false
131,32,0.0,38,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,true,true,true,true,false,true,true
132,32,0.0,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
133,32,0.0,30,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true
134,32,0.0,7249,false,true,true,true,true,true,true,true,true,false,true,false,false,false,false,false,true,false,true,false,false,false,true,true,false,true,false,true,true,false,true,true
135,32,0.015625,29522,false,false,false,false,true,true,false,true,true,false,false,false,false,false,false,false,true,false,false,true,false,true,false,true,true,false,false,false,false,false,false,false
136,32,0.0,778,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,false,false,true
137,32,0.0,13168,true,true,false,false,true,false,false,false,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,false
138,32,0.0,9249,true,true,true,false,false,false,false,true,true,true,true,false,false,false,true,true,true,false,true,false,true,true,false,true,true,true,true,true,true,true,true,false
139,32,0.046875,206484,false,false,true,false,false,false,true,false,true,true,true,false,false,false,true,false,false,false,true,true,true,false,false,true,false,true,true,true,false,true,true,false
140,32,0.0,120,false,true,false,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true
141,32,0.0,7687,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,false,true,false,true
142,32,0.0,52,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true
143,32,0.0,6204,true,true,true,true,true,false,false,false,true,true,false,true,true,true,true,false,true,false,true,false,true,false,true,false,false,true,false,false,true,true,true,true
