KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24
69,25,1.34375,16563274,false,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true
70,25,1.4375,16512850,false,false,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true
71,25,0.03125,392445,false,false,false,false,true,false,false,true,false,false,false,true,false,true,false,true,true,false,true,true,true,false,false,true,false
72,25,0.0,9434,true,true,true,false,false,false,false,false,true,false,false,false,true,false,true,false,true,false,false,false,false,false,true,true,false
73,25,0.265625,3383592,false,false,true,true,true,true,true,true,true,false,true,true,false,false,false,false,false,true,true,true,true,false,false,true,false
74,25,1.34375,16777215,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true
75,25,1.5,16752754,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false
76,25,0.734375,7785650,false,true,false,true,true,true,true,true,false,false,false,true,true,true,true,true,true,false,true,false,true,true,false,true,true
77,25,0.25,3076466,false,false,true,false,true,false,true,false,false,true,false,true,false,true,true,false,false,false,true,true,true,true,false,true,false
78,25,1.0,11160606,true,true,true,true,true,true,false,false,false,true,true,false,true,false,true,false,false,true,false,false,true,true,true,true,true
79,25,0.0,97,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
80,25,0.046875,441524,false,false,false,false,false,false,false,false,true,true,true,true,false,false,true,false,true,true,false,true,true,true,false,true,false
81,25,0.0,5675,false,false,true,true,false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,true,false,true,true,false
82,25,0.078125,972640,false,false,true,true,false,false,true,true,true,false,false,true,false,false,false,true,false,false,true,true,true,true,false,true,true
83,25,0.421875,4517023,false,true,false,true,false,true,true,true,false,false,false,true,true,false,true,true,true,false,true,false,false,true,true,true,false
84,25,0.0,5796,true,false,true,false,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true
85,25,0.46875,5608569,false,true,false,false,true,false,true,false,true,false,true,false,true,true,false,false,true,true,true,false,true,true,true,false,true
86,25,1.40625,16776835,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
87,25,1.34375,16715463,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true
88,25,1.265625,16409587,true,false,false,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,false,true
89,25,0.140625,1579132,true,false,true,false,false,true,true,false,false,false,true,true,false,false,false,true,false,true,false,true,true,false,false,true,false
90,25,0.0,177,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false
91,25,0.078125,665120,false,false,true,false,false,false,true,true,false,false,false,false,true,false,false,false,true,false,true,false,false,true,true,false,true
92,25,1.390625,16701745,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true
93,25,0.109375,1131028,false,true,false,false,false,true,false,false,true,true,false,true,true,true,true,true,true,false,true,false,true,false,false,false,false
94,25,1.328125,16716455,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true,true,true
95,25,0.03125,252315,false,true,true,false,true,true,true,false,false,true,false,false,false,false,true,false,false,false,true,false,true,false,false,true,false
96,25,0.265625,3073406,false,false,true,true,true,false,true,false,true,false,true,false,true,false,false,true,false,true,true,false,true,false,true,false,true
97,25,1.296875,16777216,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
98,25,0.0,125432,false,true,false,true,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,true,false,false,true,false,false
99,25,0.09375,1072592,true,true,true,true,false,false,false,true,true,false,true,false,true,false,true,false,false,false,false,true,true,true,false,false,false
100,25,1.34375,16777107,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true
101,25,1.234375,14871062,false,false,false,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
102,25,0.0,648,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false
103,25,0.46875,5887443,true,true,false,false,true,true,false,true,false,true,false,false,true,true,true,true,false,true,false,true,true,true,false,false,false
104,25,1.40625,16772549,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true
105,25,1.421875,16754395,true,true,true,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true
106,25,0.671875,7496130,false,false,false,true,true,false,false,true,true,true,false,true,true,true,false,true,true,true,true,true,true,false,false,false,false
107,25,1.296875,16370167,true,true,false,true,true,true,false,true,true,false,true,true,true,true,false,false,true,false,true,true,false,true,true,true,true
108,25,0.53125,6095308,false,true,false,false,true,true,true,false,true,true,true,false,false,false,true,false,false,false,true,true,true,true,false,false,true
109,25,0.0,3356,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false,true,false,true,false
110,25,0.078125,795449,true,false,false,true,false,true,false,false,true,false,true,true,true,false,false,false,false,false,true,false,true,true,false,false,false
111,25,1.28125,16777197,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
112,25,0.03125,323125,true,true,false,false,true,false,true,true,true,true,false,false,false,false,true,false,true,false,true,false,false,true,false,false,true
113,25,1.34375,16457780,false,true,true,true,true,false,true,false,false,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true
114,25,0.359375,2985589,true,false,false,true,true,false,true,true,false,false,false,false,false,false,false,true,false,true,true,true,false,true,true,false,true
115,25,0.0,93,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
116,25,0.765625,9910595,false,true,true,true,true,false,false,true,false,true,false,true,true,false,false,true,false,true,true,true,true,false,true,true,true
117,25,1.328125,16692968,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,false
118,25,0.015625,128081,false,false,false,true,false,false,false,false,true,false,true,true,false,true,false,false,true,true,true,true,false,true,false,false,false
119,25,1.3125,16777064,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true
120,25,1.390625,16683039,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,false,true
121,25,1.375,16720930,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,false
122,25,0.4375,5239798,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false,false,true,false,false,false,false,true,false,false,true
123,25,0.0,5925,false,false,false,false,false,false,false,true,true,false,false,true,false,false,false,false,false,true,false,false,false,true,false,false,true
