KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19
82,20,0.0,74,false,true,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false
83,20,0.0,16,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true
84,20,0.0,10971,false,true,true,false,false,true,true,false,false,false,true,false,true,true,false,false,false,false,false,false
85,20,0.0625,523339,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true
86,20,0.0625,439465,false,false,true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,false,false,true
87,20,0.0,113,true,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false
88,20,0.0625,521422,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true
89,20,0.0,13982,true,true,false,false,true,false,false,false,false,false,false,true,true,false,false,false,true,true,false,true
90,20,0.046875,524279,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true
91,20,0.046875,436785,false,true,true,true,false,true,false,false,true,true,true,true,true,false,true,false,true,true,true,false
92,20,0.0,31588,true,false,true,false,true,true,false,true,false,false,false,false,false,false,true,true,false,false,true,true
93,20,0.0,84,false,false,false,false,true,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false
94,20,0.0,1384,false,false,false,false,false,true,false,true,false,true,true,true,false,true,false,false,false,false,false,true
95,20,0.046875,524288,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
96,20,0.015625,164501,false,false,false,false,false,true,false,true,false,true,false,false,true,true,true,false,true,true,true,true
97,20,0.03125,522355,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false
98,20,0.03125,487831,true,false,true,false,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true
99,20,0.046875,467587,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,false
100,20,0.0,3391,false,true,true,false,true,false,true,false,true,false,true,false,false,false,false,true,false,false,false,false
101,20,0.0,5679,false,false,true,true,false,false,false,false,false,false,true,false,true,true,false,true,true,false,false,false
102,20,0.0,43433,false,true,false,true,false,false,true,false,false,false,true,false,false,true,true,true,true,false,true,false
103,20,0.046875,524284,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true
104,20,0.03125,524179,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true
105,20,0.015625,136942,false,true,false,true,true,false,true,true,true,false,true,true,false,false,true,true,true,false,true,false
106,20,0.03125,482745,false,false,false,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true
107,20,0.0,274,false,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false
108,20,0.046875,436925,true,false,false,true,true,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true
109,20,0.0,22539,true,true,true,true,false,true,true,false,true,false,false,false,false,true,false,true,false,false,true,false
110,20,0.03125,507061,true,true,false,false,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false
111,20,0.0,540,false,false,false,false,true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,true
112,20,0.0,287,true,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,true,false,false,true
113,20,0.03125,433304,false,true,true,true,true,true,true,false,true,false,false,true,false,false,false,true,false,true,true,false
114,20,0.015625,52878,false,false,false,false,false,true,true,false,true,false,false,true,true,false,false,false,false,true,true,true
