KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31
72,32,174.15625,2080697059,false,true,true,true,true,true,true,true,true,false,false,false,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true
73,32,176.125,2147483648,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
74,32,0.203125,2170559,false,false,true,true,true,false,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,true,false,false,true,true,true,true,false,false,false,false
75,32,34.1875,409385005,false,true,false,false,true,false,true,false,false,false,true,false,true,false,false,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,false,true
76,32,132.03125,1558877379,true,false,true,true,false,true,false,true,false,true,true,true,false,true,true,true,false,true,true,true,true,false,true,false,false,true,true,true,true,false,true,false
77,32,0.0,3184,false,false,false,false,true,false,false,true,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false
78,32,63.421875,759235666,false,true,true,true,false,true,false,true,true,true,false,true,true,true,true,true,false,false,false,true,true,false,true,false,false,true,false,false,false,true,true,false
79,32,175.75,2147466823,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true
80,32,178.953125,2139512250,false,true,true,true,false,false,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,true
81,32,0.0,29174,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,true,false,true,false,true,false,false,false,false,false,true,false,false,false
82,32,0.28125,3426904,true,false,false,true,false,false,true,false,false,true,false,false,false,true,false,false,true,false,false,false,false,false,true,false,true,false,true,true,true,true,false,true
83,32,124.265625,1506824153,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,false,true,true,false,false,true,true,false,false,true,true,false,true,true,true
84,32,4.53125,52596754,true,false,false,true,false,false,true,true,true,true,false,true,true,false,true,true,false,true,false,false,true,true,false,false,false,false,false,false,true,false,false,false
85,32,0.0,15472,false,true,true,false,false,false,true,false,false,false,true,false,false,true,true,false,false,false,false,true,false,true,false,false,false,false,false,true,false,false,false,false
86,32,151.296875,1808580352,true,true,true,false,true,true,false,true,true,true,true,false,true,true,false,false,true,true,false,true,true,false,true,true,false,true,true,true,true,true,false,false
87,32,176.1875,2146970293,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,true,true,true,false,true,true
88,32,174.890625,2084382395,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true
89,32,86.703125,1046565283,true,false,true,false,false,false,true,true,true,true,false,true,false,false,true,true,true,false,true,false,false,false,true,true,true,false,true,true,false,true,true,true
