KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26
87,27,0.0,17,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
88,27,1.578125,20087146,true,true,false,false,true,true,true,true,false,false,false,false,true,false,true,true,false,true,true,true,false,true,true,false,true,true,true
89,27,5.34375,67108855,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
90,27,0.453125,5282454,true,true,false,true,false,false,false,true,false,true,false,false,false,false,false,true,true,true,false,false,true,false,true,false,true,true,false
91,27,0.0,763,false,false,true,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false
92,27,5.390625,67099128,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true
93,27,5.203125,66627338,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,false,true,true,true,false,false,true
94,27,5.328125,67108264,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true
95,27,0.59375,7013124,true,true,false,true,false,true,true,false,false,true,true,false,false,false,true,false,true,true,false,false,true,true,false,true,false,true,false
96,27,5.375,67041602,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true
97,27,5.21875,65308161,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,false
98,27,0.734375,9415899,false,false,true,false,true,true,false,false,true,true,false,false,false,true,true,false,false,true,true,true,false,true,true,true,false,true,true
99,27,0.0,16552,true,false,false,false,true,false,true,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true
100,27,0.0,24179,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,true,true,true
101,27,0.0,1703,false,true,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false
102,27,0.25,2873173,false,true,false,false,false,true,false,true,true,false,true,true,true,true,true,false,false,false,false,false,true,false,true,true,false,false,false
103,27,5.25,66355258,true,true,true,true,true,true,false,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
104,27,5.140625,64361434,true,true,true,false,true,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true
105,27,5.421875,67068366,true,true,true,false,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
106,27,4.890625,59221058,true,true,false,false,true,true,false,false,false,true,true,true,true,true,false,true,true,false,true,true,true,true,false,false,true,true,true
107,27,2.21875,27190177,true,true,true,false,true,true,false,false,false,true,false,false,true,true,true,false,false,true,true,true,false,false,true,true,true,true,false
108,27,2.875,35352087,false,true,true,false,false,false,false,true,true,true,true,false,true,true,true,true,true,false,false,false,false,true,true,true,true,true,true
109,27,5.203125,65567266,true,false,false,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true
110,27,4.515625,55563054,false,true,true,true,true,true,false,true,true,false,false,true,true,true,true,true,true,false,true,true,false,true,false,false,true,false,true
111,27,0.90625,10750361,true,false,true,false,true,false,false,false,true,false,true,true,true,true,false,true,false,true,false,true,false,true,false,false,true,false,true
112,27,3.21875,39919491,true,true,true,true,true,false,true,false,true,false,false,true,false,true,false,false,true,true,true,true,true,true,true,false,true,true,true
113,27,4.71875,60031606,true,false,true,true,false,true,true,true,false,true,false,false,true,false,true,true,false,false,true,true,true,false,true,true,true,true,true
114,27,0.015625,128888,false,false,false,false,false,true,true,false,true,true,false,false,false,true,false,false,true,false,true,true,false,false,false,true,true,false,true
115,27,0.0,30,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false
116,27,1.953125,23610624,false,true,false,true,false,true,false,true,true,true,true,true,true,true,false,true,false,true,true,false,false,false,true,false,true,true,true
117,27,5.296875,67029521,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true
118,27,4.671875,58269392,true,false,false,true,true,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,false,true,true,true,false,true,false
119,27,5.4375,67108863,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true
120,27,1.46875,17731199,true,true,false,false,false,false,false,false,false,true,true,false,true,false,false,true,true,true,true,true,true,false,true,true,false,true,true
121,27,5.375,67095620,false,true,true,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false
122,27,0.0,60,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true
123,27,0.0,55984,false,false,false,false,false,true,false,true,false,true,false,false,false,false,false,true,true,false,false,true,false,false,false,false,true,true,false
124,27,5.296875,66211549,true,false,true,false,true,true,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true
125,27,3.0625,37109027,true,false,true,true,true,true,false,false,false,false,false,true,true,true,true,false,true,true,false,false,true,true,true,true,true,false,true
126,27,5.375,67107491,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false
127,27,5.359375,67108591,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true
128,27,5.265625,66919795,true,true,false,false,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
129,27,5.28125,67108725,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true
130,27,0.015625,159757,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,false,true,true,false,true,true,false,false,false,true,true
131,27,4.40625,55060131,false,true,true,true,true,true,true,true,false,true,false,false,false,true,false,false,true,true,true,false,true,false,false,true,true,true,false
132,27,0.046875,446118,true,true,true,true,true,true,true,false,false,true,false,true,false,false,false,true,false,false,true,false,true,false,true,false,false,false,false
133,27,4.609375,57317493,false,true,false,true,false,true,true,true,true,true,true,true,true,false,true,false,false,true,false,true,true,true,true,true,true,false,false
134,27,4.78125,58150831,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,false,false,false,true
135,27,5.234375,66291835,true,false,true,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true
136,27,4.65625,57994580,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true,true,false,false,true,false,false,true,false,true
137,27,0.078125,840872,false,true,true,true,true,false,false,false,true,false,false,false,true,true,false,false,false,true,false,false,false,true,false,false,false,true,true
138,27,0.0,174,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,true
139,27,0.0,180,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false
140,27,0.015625,234191,true,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,true,true,true,true,false,false,false,false,false,true
141,27,5.046875,62522336,false,true,true,true,false,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,false,false,true,true,false
142,27,0.046875,425537,false,true,false,true,false,true,false,true,false,false,true,false,false,false,false,false,true,true,false,false,true,false,true,false,false,true,false
143,27,5.46875,67038437,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,true
144,27,0.0,36125,false,false,true,false,true,false,true,true,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true,true,false,false
145,27,1.375,16854062,false,false,true,true,false,false,true,false,false,true,true,true,true,true,true,true,true,false,true,false,true,false,false,true,true,true,true
146,27,0.84375,10084301,false,true,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,false,true,false,true,false,true,false,false,true
147,27,5.28125,64622935,false,true,true,false,false,true,false,true,true,false,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true
148,27,0.640625,7502268,true,true,true,true,false,true,true,false,true,true,false,true,true,false,false,false,true,true,true,false,false,true,false,false,false,false,true
149,27,5.25,66908218,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,true
150,27,0.0,777,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,true,false,false,false,true,false,false,false,false,false
151,27,0.0,7,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false
152,27,4.015625,49031701,true,true,true,true,false,true,false,true,false,false,true,true,true,true,true,true,false,true,false,false,true,true,false,true,true,true,true
153,27,0.53125,6522917,true,false,true,true,true,true,false,true,true,false,true,false,true,false,false,true,false,false,false,false,false,true,true,true,false,true,true
154,27,5.359375,67105853,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
155,27,2.296875,27663418,true,true,false,true,true,false,true,false,false,true,true,false,true,true,false,true,true,true,true,false,true,false,false,false,false,true,false
156,27,0.0,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
157,27,0.03125,438733,true,false,false,false,true,true,false,true,false,false,false,true,false,true,true,true,false,true,false,true,false,false,false,false,false,false,false
158,27,0.0,9105,false,false,false,false,true,false,true,false,false,true,false,true,true,true,false,true,false,false,false,false,false,false,false,true,false,false,false
159,27,5.296875,66292524,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,true
160,27,5.359375,67108787,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true
161,27,5.28125,67100563,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true
162,27,5.28125,67056522,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true
163,27,5.0,62878461,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,false,true,false,false,false
164,27,5.296875,67044124,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true
165,27,5.453125,67106685,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true
166,27,5.359375,66975839,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,false,false,false
167,27,0.0,577,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,true,true,false,true
168,27,3.015625,37838673,true,true,false,false,false,false,false,true,true,false,false,false,true,true,true,true,false,true,true,true,true,true,false,true,false,false,false
169,27,2.953125,36886602,false,true,false,true,true,false,true,true,true,true,false,true,true,true,false,true,true,true,false,false,true,false,false,true,true,true,true
170,27,0.1875,2312281,true,false,true,false,false,false,true,false,true,true,true,false,true,true,false,true,false,true,false,true,false,true,false,true,false,true,false
171,27,6.078125,67007135,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true
172,27,4.78125,47768114,true,false,true,false,false,true,true,true,true,false,true,true,false,false,false,true,true,true,true,true,false,false,true,true,true,true,true
173,27,0.0,3,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false
174,27,0.0625,637357,false,true,true,false,false,true,false,true,true,false,false,true,true,false,true,false,false,false,true,false,true,false,true,false,false,false,true
175,27,0.296875,2786458,true,false,false,true,false,true,false,false,true,false,false,true,false,false,false,false,false,true,false,true,false,true,true,true,false,true,false
176,27,5.890625,60549362,true,false,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,false,false,true,false,true,true,true,true,true,true
177,27,5.578125,61341188,false,false,true,true,true,false,false,true,false,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true
178,27,1.125,14524084,false,true,true,true,false,true,false,true,false,true,false,false,false,true,false,false,true,true,false,false,false,true,true,false,false,true,true
179,27,4.25,53779796,true,true,false,false,true,false,false,true,true,true,true,true,true,false,true,false,true,true,false,true,false,true,true,true,true,false,false
180,27,0.125,1308136,false,false,false,true,false,true,false,true,true,false,true,true,true,true,true,false,true,false,false,false,false,true,false,true,false,true,false
181,27,3.609375,44683831,true,true,false,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,false,false,false,false,true,true,false,true
182,27,5.34375,67108864,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
183,27,0.0,1187,true,false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false
184,27,5.359375,67023460,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true
185,27,0.5625,6655799,true,false,false,false,false,true,false,false,true,true,true,true,true,false,true,true,true,false,false,false,false,false,false,true,true,false,true
186,27,0.0,14762,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,true,true,true,false,false,false,true,true,true
187,27,5.328125,65862682,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,false,true,false,true,true,true,true,true,true
188,27,5.296875,66026047,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true,false,true,true
189,27,5.265625,67108721,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true
190,27,5.328125,66996383,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true
191,27,4.984375,62873268,true,true,true,false,true,false,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false,true,false,true,false,false,true
