KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21
114,22,0.234375,2061300,true,false,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false
115,22,0.1875,2094919,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true
116,22,0.03125,215381,true,false,true,false,false,true,false,false,true,true,true,false,false,true,false,true,true,false,true,false,true,false
117,22,0.0,637,true,false,false,false,false,true,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false
118,22,0.0,13719,true,true,false,true,false,false,true,false,false,true,false,false,false,true,true,false,true,false,false,false,true,false
119,22,0.15625,2092915,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true
120,22,0.1875,2097152,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true
121,22,0.0,2229,false,true,true,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true
122,22,0.03125,272364,false,true,false,true,false,false,false,true,false,false,true,true,true,false,false,true,true,false,false,false,true,false
123,22,0.203125,2095966,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true
124,22,0.203125,1806557,true,false,true,true,true,true,false,true,true,false,false,true,true,false,true,true,false,true,true,false,true,true
125,22,0.171875,2039506,false,false,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true
126,22,0.0,35681,true,true,true,false,true,false,false,true,false,false,false,false,false,false,true,false,false,true,true,true,false,false
127,22,0.046875,321196,true,true,false,false,false,true,true,false,true,false,true,false,true,false,false,true,false,true,true,false,false,false
128,22,0.046875,486422,false,true,false,true,true,false,true,true,true,true,true,false,true,false,false,true,false,true,true,false,true,false
129,22,0.0,9,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false
130,22,0.078125,829613,true,true,false,true,true,true,true,false,true,false,true,false,true,false,false,false,true,false,false,true,true,true
131,22,0.0,255,false,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,false,false,true,false,false,false
132,22,0.09375,1136233,false,false,true,true,true,true,false,true,true,true,true,true,false,false,false,false,true,true,true,true,true,true
133,22,0.203125,1786729,true,false,false,true,true,false,true,true,true,true,false,true,false,true,true,true,false,true,true,false,true,true
134,22,0.03125,148799,false,false,true,false,true,false,false,true,true,true,true,false,true,false,false,false,true,false,false,false,false,true
135,22,0.1875,1732538,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,false,false,false,true,true,true,true
136,22,0.1875,2076300,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,false,true
137,22,0.15625,958139,true,true,true,false,true,false,false,true,false,true,false,false,false,true,false,true,true,false,true,true,true,false
138,22,0.25,2096866,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
139,22,0.21875,2097143,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,false
140,22,0.203125,2096799,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,false
141,22,0.0,7908,false,false,true,false,false,false,true,true,true,false,false,true,true,true,false,false,false,true,false,false,false,false
142,22,0.03125,344181,true,true,true,true,false,false,false,true,true,false,false,false,false,false,false,true,true,true,true,true,true,false
143,22,0.1875,2089647,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true
144,22,0.0,18,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false
145,22,0.171875,2097018,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
146,22,0.0,77170,true,false,false,true,true,true,true,true,false,true,true,true,false,false,false,false,false,false,false,true,false,false
147,22,0.15625,1576520,false,true,false,true,true,false,true,false,true,false,false,true,true,false,false,false,true,true,true,true,true,false
148,22,0.25,2094659,false,true,true,true,true,true,false,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true
149,22,0.03125,295129,false,true,true,true,true,false,false,true,true,false,false,false,true,true,true,false,false,true,true,false,true,true
150,22,0.140625,1697988,true,true,true,true,true,true,false,true,false,true,false,true,true,true,true,false,true,true,false,true,true,false
151,22,0.203125,2097152,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true
152,22,0.0,152,false,true,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false
153,22,0.1875,2097136,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true
154,22,0.203125,2097047,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false
155,22,0.28125,2096526,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true
156,22,0.0,12,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false
157,22,0.0,7,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
158,22,0.03125,366951,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,false,false,false,false,false,false,false
159,22,0.203125,2068813,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,false,true
160,22,0.046875,580393,false,false,false,false,true,true,false,false,false,true,true,false,true,true,false,true,true,true,true,false,true,true
161,22,0.03125,298495,true,false,false,true,false,false,true,false,false,true,true,false,true,false,false,true,true,false,true,true,false,false
162,22,0.0625,520422,true,false,false,true,false,false,false,true,true,true,true,true,true,true,false,false,false,false,false,true,false,true
163,22,0.0,170,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
164,22,0.0,588,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false
165,22,0.1875,2053938,true,true,false,false,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true
166,22,0.21875,2087782,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,true
167,22,0.0,681,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false
168,22,0.0,1099,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false
