KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29
97,30,0.09375,981917,0.0,true,false,true,true,true,true,false,true,false,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true
98,30,0.28125,2518958,0.0,true,true,true,true,false,false,true,true,true,true,true,true,true,true,false,false,true,false,true,true,false,true,false,true,true,true,true,true,true,true
99,30,0.28125,2978357,0.0,true,false,true,false,true,false,true,true,true,true,true,false,false,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true
100,30,0.34375,3269004,0.0,false,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false,true
101,30,1.46875,12304749,0.0,true,true,true,false,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,false,true,false,true
102,30,0.21875,2050680,0.0,true,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false
103,30,0.1875,1724049,0.0,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,false,false,true,false,true,true,true,true,true,true,true,false,true,true,true
104,30,0.421875,3702218,0.0,true,true,true,true,true,false,false,true,true,true,true,true,false,true,false,true,true,true,false,true,true,true,false,true,true,true,true,true,true,false
105,30,0.265625,2046431,0.0,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,false,true,true,true,false,true,true
106,30,0.15625,1653624,0.0,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,true,true,false,true,true,false,true,false
107,30,2.28125,22023042,0.0,true,true,true,true,true,true,true,false,true,true,false,false,false,true,true,false,true,true,true,true,true,false,true,true,false,true,true,true,false,true
108,30,0.25,2369173,0.0,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,false,true,false
109,30,0.15625,1711952,0.0,true,true,false,false,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false
110,30,0.03125,303720,0.0,true,false,false,true,false,false,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
111,30,0.375,3628329,0.0,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,false,true,true,true,false,true,true,false
