KnapsackId,NumberOfItems,CpuTime,NodesVisited,Error,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31
94,32,0.0,0,0.003838771593090211,true,true,true,true,false,false,false,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true
95,32,0.0,0,0.04479101684341859,true,true,true,true,false,false,true,true,true,true,true,true,true,true,false,false,true,false,false,true,true,true,true,false,true,true,true,true,true,false,true,false
96,32,0.0,0,0.03484616137557506,true,true,true,true,false,true,true,true,false,true,true,true,false,true,false,true,true,true,false,true,true,true,false,true,false,true,true,true,false,true,true,true
97,32,0.0,0,0.03125244465305484,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,false,true,false,true,true
98,32,0.0,0,0.004663531950975102,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,false,false,true,true,true
99,32,0.0,0,0.02893553223388306,true,true,true,true,true,true,true,false,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false
100,32,0.0,0,0.040463219926679686,true,false,true,true,true,true,true,true,false,false,false,false,true,false,true,true,true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true
101,32,0.0,0,0.034651893150781606,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,false,true,true,true,true,false
102,32,0.0,0,0.03743760399334443,true,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true,false,false,true,true
103,32,0.0,0,0.010118254497001999,true,true,true,false,true,false,true,true,false,true,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true
104,32,0.0,0,0.00858384775541513,true,false,true,false,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true
105,32,0.0,0,0.030347598378591672,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,true,false,true,false,false,true,true,true,true
106,32,0.0,0,0.06270420118147915,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,false,false,true,true,false,false,true,true,true,true,true,true
107,32,0.0,0,0.033414392506529764,true,true,true,false,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true,false
108,32,0.0,0,0.00832191110240846,true,true,true,false,false,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,false,true,true
109,32,0.0,0,0.0531436409454847,true,true,false,true,false,true,true,false,true,true,true,true,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,true,true
110,32,0.0,0,0.032001433434868304,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,false,false,true,true,true,true,false,true,false,true,false,true,true,true
111,32,0.0,0,0.011858176212498519,false,true,false,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
112,32,0.0,0,0.01365681862649188,true,true,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true
113,32,0.0,0,0.0,true,true,true,true,false,false,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true
114,32,0.0,0,0.0064455485430374646,false,true,true,true,true,false,true,true,true,true,true,true,false,true,false,false,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true
115,32,0.0,0,0.05241013445531876,false,true,true,true,true,true,true,false,true,false,true,true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true,true,false,true
116,32,0.0,0,0.04769400810530194,true,true,true,false,true,true,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,false,true,true,true,false,true,true,false,true,true,false
117,32,0.0,0,0.015870358589747884,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,false,true,true,false,false,true,true
118,32,0.0,0,0.02130886759646332,true,true,true,true,false,false,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,true,true,true,true,false,true
119,32,0.0,0,0.006839806318355738,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,false,true,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true
120,32,0.0,0,0.04197178633697892,true,true,false,true,false,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false,false
121,32,0.0,0,0.033859470468431775,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,false,true,true,false,true,false,true,false
122,32,0.0,0,0.05465183565871536,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,false,false,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true
123,32,0.0,0,0.013461924854329918,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,false,true,false,true,true,true,true,false,true,true,true
124,32,0.0,0,0.0170588022696881,true,false,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,false,false,true
125,32,0.0,0,0.04010068271153713,false,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true,true,true,false,true,true,true
126,32,0.0,0,0.05384187856051133,true,false,true,false,false,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true
127,32,0.0,0,0.0019232219624406063,true,true,true,true,true,false,false,true,true,false,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true
128,32,0.0,0,0.013052022692721273,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true
129,32,0.0,0,0.03999842215297227,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true,true,false,false,true,true,true
130,32,0.0,0,0.009167939991665508,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,false,false,true,true,false,true,true,true,true,true
131,32,0.0,0,0.013385332319793766,true,false,false,true,true,true,true,true,true,false,true,true,true,false,true,true,true,false,false,true,true,true,true,true,true,false,false,true,true,true,true,true
132,32,0.0,0,0.04165190346836739,true,true,true,true,true,true,true,true,false,false,true,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false
133,32,0.0,0,0.05578670975560493,true,true,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true
134,32,0.0,0,0.03259359647636795,true,true,true,true,true,true,false,true,false,true,true,false,true,true,true,true,true,true,true,false,true,false,false,false,true,true,true,true,true,true,false,true
135,32,0.0,0,0.040736628507982695,true,true,true,false,true,true,false,true,false,false,false,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true
136,32,0.0,0,0.02988872302890487,true,true,false,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false,true,true
137,32,0.0,0,0.05868814729574223,true,true,false,false,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,false,false,true,true,true,true,true,true,true,true,true,false,true
138,32,0.0,0,0.01562778749063403,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,false,true,false,true,true,false,true,false,true,true
139,32,0.0,0,0.054663050281660755,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,false,false,true,false,false,true,true,false,true,true,false,true,true
140,32,0.0,0,0.06278815347347035,true,true,false,true,false,true,false,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,true
141,32,0.0,0,0.007259661215809929,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,false,true,true,true
142,32,0.0,0,0.028285306893921808,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true
143,32,0.0,0,0.06274509803921569,false,true,true,true,false,true,true,true,false,true,true,false,true,false,true,false,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true
144,32,0.0,0,0.013325647633256476,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,false,false
145,32,0.0,0,0.025470858668248553,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,true,false,true,true,false,true,true,true,true,false,false
146,32,0.0,0,0.015834601023371593,false,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,false,true,true,false,true
147,32,0.0,0,0.053665112212183036,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,true,true,true,false,true,true,true,true,true,false,true,true,false,true,false,true
148,32,0.0,0,0.007686368103327249,true,true,true,true,true,false,true,true,true,false,true,true,true,false,false,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,true
