KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14
146,15,0.0,14884,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true
147,15,0.0,14417,false,true,true,true,true,false,true,false,false,false,true,true,true,true,true
148,15,0.015625,16373,true,true,true,true,true,false,true,true,true,false,true,true,true,true,false
149,15,0.0,2489,false,false,false,true,false,true,true,true,true,false,false,false,true,true,false
150,15,0.0,16362,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false
151,15,0.0,3,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
152,15,0.0,3310,false,true,false,false,false,true,false,true,true,true,false,false,true,true,false
153,15,0.0,2565,false,true,true,true,true,true,true,false,true,false,false,false,false,false,false
154,15,0.0,4641,true,false,false,true,true,true,false,true,false,false,false,false,true,true,true
155,15,0.0,29,true,false,false,false,true,true,false,false,false,false,false,true,false,false,true
156,15,0.0,15165,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true
157,15,0.0,16195,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true
158,15,0.0,1471,false,true,false,false,true,false,false,true,false,true,false,true,false,true,true
159,15,0.0,653,false,true,false,true,false,false,false,false,false,true,true,false,true,true,false
160,15,0.0,16151,true,true,false,true,true,true,true,true,true,false,true,true,true,false,true
161,15,0.0,5144,true,true,false,true,true,false,false,false,false,true,true,true,false,false,true
162,15,0.0,1244,true,false,false,true,false,false,false,true,true,true,false,false,false,false,true
163,15,0.0,353,true,false,true,false,false,false,false,true,true,false,false,false,false,false,true
164,15,0.0,1383,false,false,true,false,false,true,false,false,false,true,true,false,false,false,true
165,15,0.0,15611,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true
166,15,0.0,2474,true,true,false,false,false,true,false,false,false,true,false,true,false,true,false
167,15,0.0,16255,false,false,true,true,true,true,true,true,true,true,true,true,true,true,false
168,15,0.0,4,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true
169,15,0.0,15033,true,true,true,false,true,false,true,false,true,true,true,true,true,false,true
170,15,0.0,4233,false,false,false,true,true,true,true,true,true,true,false,false,false,true,true
171,15,0.0,112,true,false,false,false,false,true,true,false,true,false,false,false,true,false,false
172,15,0.0,16377,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true
173,15,0.015625,15785,false,true,true,false,true,true,false,true,true,true,true,true,true,true,true
